MOUSE_GENE_SYM	HUMAN_GENE_SYM
Hsfy2	HSFY1
Gm5788	EIF1AY
Gm21677	RBMY1B
Tbl1x	TBL1Y
Pcdh11x	PCDH11Y
Uty	UTY
Dazl	DAZ1
Tgif2lx2	TGIF2LY
Prkx	PRKY
Usp9y	USP9Y
Gm25867	RNU6-521P
Ddx3y	DDX3Y
Zfx	ZFY
Kdm5d	KDM5D
Sry	SRY
Rmc1	RMC1
Ergic3	ERGIC3
Grp	GRP
Pes1	PES1
Il17ra	IL17RA
Tubb6	TUBB6
Txnl1	TXNL1
Fbxl3	FBXL3
Diaph3	DIAPH3
Celf4	CELF4
Dsc2	DSC2
Tab1	TAB1
Tff1	TFF1
Fech	FECH
Nalcn	NALCN
Dgcr2	DGCR2
Nedd4l	NEDD4L
Cdadc1	CDADC1
Tpgs2	TPGS2
Mx1	MX1
Grik1	GRIK1
Adarb1	ADARB1
Slc39a6	SLC39A6
Cep192	CEP192
Dtna	DTNA
Baiap2l2	BAIAP2L2
Mipep	MIPEP
Castor1	CASTOR1
Lcp1	LCP1
Emilin2	EMILIN2
Serpind1	SERPIND1
Mtrf1	MTRF1
Tgds	TGDS
Rgcc	RGCC
Setd4	SETD4
Uqcc1	UQCC1
Dnajc15	DNAJC15
Clic6	CLIC6
Efnb2	EFNB2
Tdrd3	TDRD3
Mep1b	MEP1B
Cpb2	CPB2
Cab39l	CAB39L
Col6a1	COL6A1
Smad4	SMAD4
Sod1	SOD1
Ccdc116	CCDC116
Paxbp1	PAXBP1
Sap18	SAP18
Esd	ESD
Ndc80	NDC80
Aifm3	AIFM3
Stard13	STARD13
Dop1b	DOP1B
Timp3	TIMP3
Rb1	RB1
Itgb2	ITGB2
Akap11	AKAP11
Gnb1l	GNB1L
Rab12	RAB12
Pisd	PISD
Ube2g2	UBE2G2
App	APP
Tmprss15	TMPRSS15
Zdhhc20	ZDHHC20
H13	HM13
Osbp2	OSBP2
Sdf2l1	SDF2L1
Slc19a1	SLC19A1
Vpreb3	VPREB3
Fgf9	FGF9
Cln5	CLN5
Rnf185	RNF185
Hdhd2	HDHD2
Spryd7	SPRYD7
Syngr1	SYNGR1
Esco1	ESCO1
Il10rb	IL10RB
Mbd1	MBD1
Ufd1	UFD1
Col6a2	COL6A2
Slc35g3	SLC35G4
Atp7b	ATP7B
Ccdc117	CCDC117
Mapre2	MAPRE2
Ywhah	YWHAH
Slc25a18	SLC25A18
Mrpl39	MRPL39
Scarf2	SCARF2
Cbr3	CBR3
Cryaa	CRYAA2
Dnajc3	DNAJC3
Top3b	TOP3B
Snrpd1	SNRPD1
Xpo4	XPO4
Lrrc63	LRRC63
Slc10a2	SLC10A2
Fam3b	FAM3B
Ftcd	FTCD
Rcan1	RCAN1
Thap7	THAP7
Dlgap1	DLGAP1
Zmym2	ZMYM2
Mapk4	MAPK4
Gcat	GCAT
Snrpb2	SNRPB2
Tmem50b	TMEM50B
Acod1	ACOD1
Hsf2bp	HSF2BP
Micu2	MICU2
Ggt1	GGTLC3
Cacna1i	CACNA1I
Mib1	MIB1
Mfng	MFNG
Pdgfb	PDGFB
Pvalb	PVALB
Rnf138	RNF138
Ypel1	YPEL1
Kpna3	KPNA3
Gsc2	GSC2
Donson	DONSON
Vapa	VAPA
Nars	NARS1
Runx1	RUNX1
Eef1akmt1	EEF1AKMT1
Apobec3	APOBEC3H
Fbxo7	FBXO7
Spaca7	SPACA7
Rock1	ROCK1
Pspc1	PSPC1
Rax	RAX
Cryl1	CRYL1
Sik1	SIK1B
Mbd2	MBD2
Col18a1	COL18A1
Synj1	SYNJ1
Kremen1	KREMEN1
Derl3	DERL3
Cplx4	CPLX4
Mis18a	MIS18A
Dnmt3l	DNMT3L
Zfp397	ZNF397
Snrpd3	SNRPD3
Chaf1b	CHAF1B
Rcbtb2	RCBTB2
Abhd3	ABHD3
Cfap410	CFAP410
Ebpl	EBPL
Tnfsf11	TNFSF11
Med4	MED4
Ddt	DDTL
Ifnar1	IFNAR1
Rtcb	RTCB
Kdelr3	KDELR3
Limk2	LIMK2
Npc1	NPC1
Dsg4	DSG4
Sec11c	SEC11C
Dgcr6	DGCR6
Ska3	SKA3
Nefh	NEFH
Smtn	SMTN
Dip2a	DIP2A
Smchd1	SMCHD1
Snap29	SNAP29
Mcm3ap	MCM3AP
2700062C07Rik	C18orf21
Sec14l2	SEC14L2
Itm2b	ITM2B
Ascc2	ASCC2
Uchl3	UCHL3
Epsti1	EPSTI1
Atp12a	ATP12A
Nptxr	NPTXR
Pigp	PIGP
Tango2	TANGO2
Dct	DCT
Bid	BID
Tsc22d1	TSC22D1
Spata13	SPATA13
Mrpl57	MRPL57
Tmprss2	TMPRSS2
Mtif3	MTIF3
Ranbp1	RANBP1
Eif3d	EIF3D
Lama3	LAMA3
Gpc5	GPC5
Me2	ME2
Sec14l4	SEC14L4
Mbnl2	MBNL2
Ifngr2	IFNGR2
Gata6	GATA6
Scel	SCEL
Ggt5	GGT5
Bcl2l13	BCL2L13
Rem1	REM1
Mrpl40	MRPL40
Ccdc178	CCDC178
Icosl	ICOSLG
Pttg1ip	PTTG1IP
Adsl	ADSL
Ap1b1	AP1B1
Mcm5	MCM5
Prelid3a	PRELID3A
Amer2	AMER2
Bcl2l1	BCL2L1
Large1	LARGE1
Slc37a1	SLC37A1
Spatc1l	SPATC1L
Rab36	RAB36
Lbp	LBP
Pfkl	PFKL
Gart	GART
Zmat5	ZMAT5
Brwd1	BRWD1
Smarcb1	SMARCB1
Lztr1	LZTR1
Rnf215	RNF215
Get1	GET1
Klhl1	KLHL1
Smad2	SMAD2
Epb41l3	EPB41L3
Ubl3	UBL3
Tomm22	TOMM22
Gnal	GNAL
Ccdc70	CCDC70
Vps26c	VPS26C
Gabpa	GABPA
Pxmp4	PXMP4
Adamts1	ADAMTS1
Trpm2	TRPM2
Aire	AIRE
Tubgcp3	TUBGCP3
Ess2	ESS2
Drg1	DRG1
Wdfy2	WDFY2
Myh9	MYH9
Olfm4	OLFM4
Arvcf	ARVCF
Naa20	NAA20
Ncam2	NCAM2
Mmp11	MMP11
Klhl22	KLHL22
Son	SON
Yes1	YES1
Mc5r	MC5R
Scaf4	SCAF4
Sucla2	SUCLA2
Sfi1	SFI1
Dnal4	DNAL4
Crnkl1	CRNKL1
Impa2	IMPA2
Agpat3	AGPAT3
Prmt2	PRMT2
Btg3	BTG3
Ttc39c	TTC39C
Pcnt	PCNT
Pibf1	PIBF1
Enox1	ENOX1
Cacng2	CACNG2
Wbp4	WBP4
Cabin1	CABIN1
Napg	NAPG
Lpin2	LPIN2
Syt4	SYT4
Nufip1	NUFIP1
Foxred2	FOXRED2
Sf3a1	SF3A1
Slc5a1	SLC5A1
Setbp1	SETBP1
Tbx1	TBX1
Hck	HCK
Cbs	CBSL
Psmg2	PSMG2
Eif4enif1	EIF4ENIF1
Atp8a2	ATP8A2
Cabyr	CABYR
Ewsr1	EWSR1
Rnmt	RNMT
Riok3	RIOK3
Tff2	TFF2
Gtf3a	GTF3A
Afg3l2	AFG3L2
Rsph1	RSPH1
2610028H24Rik	C21orf58
Klf5	KLF5
Susd2	SUSD2
Ndufv3	NDUFV3
Zfp521	ZNF521
Itsn1	ITSN1
Nf2	NF2
Ripply3	RIPPLY3
Slc25a30	SLC25A30
Trappc10	TRAPPC10
Bcr	BCR
Spry2	SPRY2
Tmprss3	TMPRSS3
Med15	MED15
Adora2a	ADORA2A
Cdc45	CDC45
Mief1	MIEF1
Elp2	ELP2
Ednrb	EDNRB
Chodl	CHODL
Slc5a4a	SLC5A4
Dyrk1a	DYRK1A
Cby1	CBY1
Thoc1	THOC1
Slc7a4	SLC7A4
Ralbp1	RALBP1
Cdh2	CDH2
Ldlrad4	LDLRAD4
Naa16	NAA16
Prdm15	PRDM15
